name,id,name_type,rec_class,mass,fall,year,rec_lat,rec_long,location_type
Allegan,2276,Valid,Stony,32000.0,Fell,1899.0,42.53333,-85.88333,Exact
Allende,2278,Valid,Stony,2000000.0,Fell,1969.0,26.96667,-105.31667,Exact
Andover,2295,Valid,Stony,3200.0,Fell,1898.0,44.61667,-70.75,Exact
Archie,2329,Valid,Stony,5070.0,Fell,1932.0,38.5,-94.3,Exact
Ash Creek,48954,Valid,Stony,9500.0,Fell,2009.0,31.805,-97.01,Exact
Athens,4885,Valid,Stony,265.0,Fell,1933.0,34.75,-87.0,Exact
Atoka,4888,Valid,Stony,1384.2,Fell,1945.0,34.31667,-96.15,Exact
Avilez,4907,Valid,Stony,146.0,Fell,1855.0,25.0,-103.5,Exact
Aztec,4913,Valid,Stony,2830.0,Fell,1938.0,36.8,-108.0,Exact
Bald Mountain,4925,Valid,Stony,3700.0,Fell,1929.0,35.96667,-82.48333,Exact
Baldwyn,4926,Valid,Stony,345.0,Fell,1922.0,34.5,-88.66667,Exact
Bath,4974,Valid,Stony,21000.0,Fell,1892.0,45.41667,-98.31667,Exact
Bath Furnace,4975,Valid,Stony,86000.0,Fell,1902.0,38.25,-83.75,Exact
Battle Mountain,56133,Valid,Stony,2900.0,Fell,2012.0,40.66813,-117.18913,Exact
Baxter,4977,Valid,Stony,611.0,Fell,1916.0,36.75,-93.5,Exact
Beardsley,4984,Valid,Stony,16000.0,Fell,1929.0,39.8,-101.2,Exact
Bells,5005,Valid,Stony,375.0,Fell,1961.0,33.6,-96.46667,Exact
Benld,5021,Valid,Stony,1770.5,Fell,1938.0,39.08333,-89.15,Exact
Benton,5026,Valid,Stony,2840.0,Fell,1949.0,45.95,-67.55,Exact
Berthoud,47355,Valid,Stony,960.0,Fell,2004.0,40.30583,-105.02325,Exact
Bethlehem,5032,Valid,Stony,13.9,Fell,1859.0,42.53333,-73.83333,Exact
Bishopville,5059,Valid,Stony,6000.0,Fell,1843.0,34.16667,-80.28333,Exact
Black Moshannan Park,5065,Valid,Stony,705.0,Fell,1941.0,40.91667,-78.08333,Exact
Blackwell,5068,Valid,Stony,2381.0,Fell,1906.0,36.83333,-97.33333,Exact
Blanket,5071,Valid,Stony,5100.0,Fell,1909.0,31.83333,-98.83333,Exact
Bloomington,5076,Valid,Stony,67.8,Fell,1938.0,40.48,-89.00417,Exact
Bradford Woods,5128,Valid,Stony,762.0,Fell,1886.0,40.5,-80.08333,Exact
Burnwell,5175,Valid,Stony,1504.0,Fell,1990.0,37.62194,-82.23722,Exact
Cabin Creek,5186,Valid,Iron,48500.0,Fell,1886.0,35.5,-93.5,Exact
Canon City,5253,Valid,Stony,1400.0,Fell,1973.0,38.47028,-105.24139,Exact
Cape Girardeau,5260,Valid,Stony,2300.0,Fell,1846.0,37.26667,-89.58333,Exact
Castalia,5291,Valid,Stony,7300.0,Fell,1874.0,36.08333,-78.06667,Exact
Castine,5293,Valid,Stony,94.0,Fell,1848.0,44.38333,-68.75,Exact
Caswell County,5296,Valid,Stony,1360.0,Fell,1810.0,36.5,-79.25,Exact
Ceniceros,5306,Valid,Stony,1025.0,Fell,1988.0,26.46667,-105.23333,Exact
Centerville,5307,Valid,Stony,45.6,Fell,1956.0,43.2,-96.91667,Exact
Charlotte,5328,Valid,Iron,4300.0,Fell,1835.0,36.16667,-87.33333,Exact
Cherokee Springs,5340,Valid,Stony,8400.0,Fell,1933.0,35.03333,-81.88333,Exact
Chicora,5349,Valid,Stony,303.0,Fell,1938.0,40.93333,-79.73333,Exact
Claxton,5374,Valid,Stony,1455.0,Fell,1984.0,32.1025,-81.87278,Exact
Colby (Wisconsin),5395,Valid,Stony,104000.0,Fell,1917.0,44.9,-90.28333,Exact
Coleman,5401,Valid,Stony,469.0,Fell,1994.0,43.76111,-84.50778,Exact
Crescent,5470,Valid,Stony,78.4,Fell,1936.0,35.95,-97.58333,Exact
Cross Roads,5476,Valid,Stony,167.0,Fell,1892.0,35.63333,-78.13333,Exact
Cumberland Falls,5496,Valid,Stony,17000.0,Fell,1919.0,36.83333,-84.35,Exact
Cynthiana,5500,Valid,Stony,6000.0,Fell,1877.0,38.4,-84.25,Exact
Danville,5514,Valid,Stony,2000.0,Fell,1868.0,34.4,-87.06667,Exact
De Cewsville,6621,Valid,Stony,340.0,Fell,1887.0,43.0,-80.0,Exact
Deal,6634,Valid,Stony,28.0,Fell,1829.0,40.25,-74.0,Exact
Denver,6660,Valid,Stony,230.0,Fell,1967.0,39.7825,-104.93056,Exact
Drake Creek,7728,Valid,Stony,5000.0,Fell,1827.0,36.4,-86.5,Exact
Dresden (Ontario),7731,Valid,Stony,47700.0,Fell,1939.0,42.52,-82.26,Exact
Eagle,7760,Valid,Stony,10000.0,Fell,1947.0,40.78167,-96.47167,Exact
