state,name
Alabama,17
Arizona,119
Arkansas,15
California,227
Colorado,86
Connecticut,4
Florida,5
Georgia,25
Idaho,6
Illinois,8
Indiana,13
Iowa,7
Kansas,139
Kentucky,26
Louisiana,3
Maine,5
Maryland,3
Massachusetts,1
Michigan,9
Minnesota,6
Mississippi,3
Missouri,22
Montana,6
Nebraska,49
Nevada,92
New Jersey,1
New Mexico,221
New York,12
North Carolina,29
North Dakota,10
Ohio,11
Oklahoma,40
Oregon,6
Pennsylvania,9
South Carolina,6
South Dakota,16
Tennessee,24
Texas,296
Utah,19
Virginia,13
Washington,6
West Virginia,3
Wisconsin,14
Wyoming,14
